flight_date,flights,delayed_flights,major_delay_day,over_three_delays
2019-01-01,1835,737,TRUE,TRUE
2019-01-02,2026,906,TRUE,TRUE
2019-01-03,2010,781,TRUE,TRUE
2019-01-04,2012,614,TRUE,TRUE
2019-01-05,1712,556,TRUE,TRUE
2019-01-06,1943,690,TRUE,TRUE
2019-01-07,2016,621,TRUE,TRUE
2019-01-08,1885,390,TRUE,TRUE
2019-01-09,2002,420,TRUE,TRUE
2019-01-10,1972,506,TRUE,TRUE
2019-01-11,2057,574,TRUE,TRUE
2019-01-12,1549,422,TRUE,TRUE
2019-01-13,1829,527,TRUE,TRUE
2019-01-14,1964,525,TRUE,TRUE
2019-01-15,1867,507,TRUE,TRUE
2019-01-16,1853,465,TRUE,TRUE
2019-01-17,2005,687,TRUE,TRUE
2019-01-18,1924,709,TRUE,TRUE
2019-01-19,1350,444,TRUE,TRUE
2019-01-20,1527,545,TRUE,TRUE
2019-01-21,1932,870,TRUE,TRUE
2019-01-22,1756,703,TRUE,TRUE
2019-01-23,1857,708,TRUE,TRUE
2019-01-24,2005,862,TRUE,TRUE
2019-01-25,2020,757,TRUE,TRUE
2019-01-26,1607,402,TRUE,TRUE
2019-01-27,1905,653,TRUE,TRUE
2019-01-28,1916,583,TRUE,TRUE
2019-01-29,1823,450,TRUE,TRUE
2019-01-30,1752,563,TRUE,TRUE
2019-01-31,1862,769,TRUE,TRUE
2019-02-01,2038,814,TRUE,TRUE
2019-02-02,1450,444,TRUE,TRUE
2019-02-03,1701,397,TRUE,TRUE
2019-02-04,1995,616,TRUE,TRUE
2019-02-05,1899,449,TRUE,TRUE
2019-02-06,1905,571,TRUE,TRUE
2019-02-07,1951,794,TRUE,TRUE
2019-02-08,2018,764,TRUE,TRUE
2019-02-09,1570,424,TRUE,TRUE
2019-02-10,1840,724,TRUE,TRUE
2019-02-11,1953,828,TRUE,TRUE
2019-02-12,1775,792,TRUE,TRUE
2019-02-13,1945,767,TRUE,TRUE
2019-02-14,2164,831,TRUE,TRUE
2019-02-15,2050,737,TRUE,TRUE
2019-02-16,1613,507,TRUE,TRUE
2019-02-17,1732,649,TRUE,TRUE
2019-02-18,2025,962,TRUE,TRUE
2019-02-19,1975,814,TRUE,TRUE
2019-02-20,1852,972,TRUE,TRUE
2019-02-21,1990,935,TRUE,TRUE
2019-02-22,2123,948,TRUE,TRUE
2019-02-23,1594,586,TRUE,TRUE
2019-02-24,1879,710,TRUE,TRUE
2019-02-25,1968,813,TRUE,TRUE
2019-02-26,2001,682,TRUE,TRUE
2019-02-27,1973,671,TRUE,TRUE
2019-02-28,2063,902,TRUE,TRUE
2019-03-01,2057,914,TRUE,TRUE
2019-03-02,1761,764,TRUE,TRUE
2019-03-03,1888,861,TRUE,TRUE
2019-03-04,2060,865,TRUE,TRUE
2019-03-05,2003,715,TRUE,TRUE
2019-03-06,2011,661,TRUE,TRUE
2019-03-07,2096,711,TRUE,TRUE
2019-03-08,2205,799,TRUE,TRUE
2019-03-09,1796,832,TRUE,TRUE
2019-03-10,2158,1040,TRUE,TRUE
2019-03-11,2185,688,TRUE,TRUE
2019-03-12,2085,662,TRUE,TRUE
2019-03-13,1970,681,TRUE,TRUE
2019-03-14,2105,872,TRUE,TRUE
2019-03-15,2197,919,TRUE,TRUE
2019-03-16,1824,640,TRUE,TRUE
2019-03-17,2080,614,TRUE,TRUE
2019-03-18,2163,550,TRUE,TRUE
2019-03-19,2015,459,TRUE,TRUE
2019-03-20,2133,524,TRUE,TRUE
2019-03-21,2197,717,TRUE,TRUE
2019-03-22,2179,768,TRUE,TRUE
2019-03-23,1807,512,TRUE,TRUE
2019-03-24,2079,557,TRUE,TRUE
2019-03-25,2201,691,TRUE,TRUE
2019-03-26,2081,577,TRUE,TRUE
2019-03-27,2069,510,TRUE,TRUE
2019-03-28,2205,601,TRUE,TRUE
2019-03-29,2169,579,TRUE,TRUE
2019-03-30,1733,476,TRUE,TRUE
2019-03-31,2084,647,TRUE,TRUE
2019-04-01,2125,1009,TRUE,TRUE
2019-04-02,2118,472,TRUE,TRUE
2019-04-03,2008,488,TRUE,TRUE
2019-04-04,2151,676,TRUE,TRUE
2019-04-05,2191,686,TRUE,TRUE
2019-04-06,1807,508,TRUE,TRUE
2019-04-07,1957,726,TRUE,TRUE
2019-04-08,2155,760,TRUE,TRUE
2019-04-09,2054,638,TRUE,TRUE
2019-04-10,2030,654,TRUE,TRUE
2019-04-11,2017,654,TRUE,TRUE
2019-04-12,2102,849,TRUE,TRUE
2019-04-13,1654,599,TRUE,TRUE
2019-04-14,1904,955,TRUE,TRUE
2019-04-15,2092,963,TRUE,TRUE
2019-04-16,2079,571,TRUE,TRUE
2019-04-17,2042,539,TRUE,TRUE
2019-04-18,2133,866,TRUE,TRUE
2019-04-19,2029,940,TRUE,TRUE
2019-04-20,1701,526,TRUE,TRUE
2019-04-21,2097,527,TRUE,TRUE
2019-04-22,2097,665,TRUE,TRUE
2019-04-23,2019,505,TRUE,TRUE
