variable,missing_count
fl_date,0
airline,0
airline_dot,0
airline_code,0
dot_code,0
fl_number,0
origin,0
origin_city,0
dest,0
dest_city,0
crs_dep_time,0
dep_time,77615
dep_delay,77644
taxi_out,78806
wheels_off,78806
wheels_on,79944
taxi_in,79944
crs_arr_time,0
arr_time,79942
arr_delay,86198
cancelled,0
cancellation_code,2920860
diverted,0
crs_elapsed_time,14
elapsed_time,86198
air_time,86198
distance,0
delay_due_carrier,2466137
delay_due_weather,2466137
delay_due_nas,2466137
delay_due_security,2466137
delay_due_late_aircraft,2466137
