delayed_flights,observed,observed_probability,poisson_probability
33,1,5.868544600938967e-4,1.8893438625427023e-199
37,2,0.0011737089201877935,1.373737557688694e-194
40,1,5.868544600938967e-4,4.5838303965794296e-191
43,2,0.0011737089201877935,1.2245031332929853e-187
44,2,0.0011737089201877935,1.6215047006615496e-186
45,4,0.002347417840375587,2.0995039013026988e-185
46,1,5.868544600938967e-4,2.659315360125885e-184
47,2,0.0011737089201877935,3.2967269005262313e-183
48,1,5.868544600938967e-4,4.001775511173674e-182
49,1,5.868544600938967e-4,4.7584732248732746e-181
50,1,5.868544600938967e-4,5.5450901784070895e-180
51,3,0.0017605633802816902,6.335040927920712e-179
52,2,0.0011737089201877935,7.098344438424928e-178
54,3,0.0017605633802816902,8.419948112693166e-176
56,1,5.868544600938967e-4,9.280698716340006e-174
57,1,5.868544600938967e-4,9.486735808033828e-173
58,2,0.0011737089201877935,9.53015140830474e-172
59,3,0.0017605633802816902,9.411498482807644e-171
60,3,0.0017605633802816902,9.139417437564706e-170
62,1,5.868544600938967e-4,8.203873684927598e-168
65,1,5.868544600938967e-4,6.191816085350285e-165
66,1,5.868544600938967e-4,5.4661947446537305e-164
67,1,5.868544600938967e-4,4.753585233048044e-163
68,1,5.868544600938967e-4,4.0730839404990797e-162
69,1,5.868544600938967e-4,3.439420356821873e-161
70,2,0.0011737089201877935,2.86284743907454e-160
71,1,5.868544600938967e-4,2.3493668914509907e-159
73,1,5.868544600938967e-4,1.5174607376890476e-157
74,1,5.868544600938967e-4,1.1948041739543054e-156
78,2,0.0011737089201877935,4.02235593721388e-153
80,1,5.868544600938967e-4,2.1606548448331003e-151
82,1,5.868544600938967e-4,1.1043544868871048e-149
83,1,5.868544600938967e-4,7.752493225185553e-149
84,3,0.0017605633802816902,5.377409338791728e-148
85,1,5.868544600938967e-4,3.686083416289709e-147
86,3,0.0017605633802816902,2.497340128070288e-146
87,2,0.0011737089201877935,1.6725127251454654e-145
89,2,0.0011737089201877935,7.249678166298149e-144
91,2,0.0011737089201877935,3.00508528005915e-142
95,1,5.868544600938967e-4,4.5329248322446265e-139
96,1,5.868544600938967e-4,2.7511753528586227e-138
97,5,0.0029342723004694834,1.652561099933577e-137
98,2,0.0011737089201877935,9.825223484606106e-137
101,2,0.0011737089201877935,1.9436534452598863e-134
102,2,0.0011737089201877935,1.1102726672835256e-133
103,3,0.0017605633802816902,6.280632924266039e-133
104,2,0.0011737089201877935,3.51869043112755e-132
105,2,0.0011737089201877935,1.9525526289469904e-131
106,3,0.0017605633802816902,1.073267234576592e-130
108,1,5.868544600938967e-4,3.152987967977754e-129
109,1,5.868544600938967e-4,1.685414800087714e-128
112,3,0.0017605633802816902,2.4378449466501674e-126
115,2,0.0011737089201877935,3.255051828166153e-124
116,1,5.868544600938967e-4,1.6349742098874772e-123
117,2,0.0011737089201877935,8.142092509667051e-123
118,1,5.868544600938967e-4,4.02036064373727e-122
119,1,5.868544600938967e-4,1.96847108267743e-121
120,1,5.868544600938967e-4,9.557818540388893e-121
121,1,5.868544600938967e-4,4.602400396294246e-120
122,3,0.0017605633802816902,2.1980398179105901e-119
123,1,5.868544600938967e-4,1.0412174352712855e-118
124,3,0.0017605633802816902,4.892498874030015e-118
125,1,5.868544600938967e-4,2.2805085725767982e-117
126,2,0.0011737089201877935,1.0545620820864328e-116
127,4,0.002347417840375587,4.838150998414729e-116
129,3,0.0017605633802816902,9.94721979087347e-115
130,1,5.868544600938967e-4,4.4583006224405016e-114
131,2,0.0011737089201877935,1.9829375716256817e-113
132,2,0.0011737089201877935,8.752781723153673e-113
133,2,0.0011737089201877935,3.8344708886481604e-112
134,1,5.868544600938967e-4,1.6672918771013577e-111
135,2,0.0011737089201877935,7.195961872443568e-111
136,3,0.0017605633802816902,3.082910614006195e-110
137,3,0.0017605633802816902,1.3111469032682805e-109
138,2,0.0011737089201877935,5.535836500993271e-109
139,1,5.868544600938967e-4,2.3204886172002124e-108
140,1,5.868544600938967e-4,9.657448357507113e-108
141,1,5.868544600938967e-4,3.990747677393359e-107
144,4,0.002347417840375587,2.699605839306596e-105
145,1,5.868544600938967e-4,1.084784183387839e-104
146,1,5.868544600938967e-4,4.3291384614256684e-104
147,1,5.868544600938967e-4,1.7159124658495848e-103
148,2,0.0011737089201877935,6.755296283512187e-103
149,1,5.868544600938967e-4,2.6416125610529687e-102
150,6,0.0035211267605633804,1.0260980203260865e-101
151,3,0.0017605633802816902,3.959340845049499e-101
152,1,5.868544600938967e-4,1.517715222163583e-100
153,4,0.002347417840375587,5.779760556930944e-100
154,4,0.002347417840375587,2.1867549275291715e-99
155,1,5.868544600938967e-4,8.22014358061788e-99
156,1,5.868544600938967e-4,3.070193817342142e-98
157,1,5.868544600938967e-4,1.1394023953348374e-97
158,2,0.0011737089201877935,4.2017579351319276e-97
159,2,0.0011737089201877935,1.5397311370914497e-96
160,1,5.868544600938967e-4,5.607068960325984e-96
161,5,0.0029342723004694834,2.0291820370691388e-95
162,3,0.0017605633802816902,7.298220531320128e-95
164,2,0.0011737089201877935,9.268458408401473e-94
165,3,0.0017605633802816902,3.2729136618198135e-93
166,2,0.0011737089201877935,1.1487815412148922e-92
167,1,5.868544600938967e-4,4.008039244484339e-92
168,4,0.002347417840375587,1.3900603997637157e-91
169,2,0.0011737089201877935,4.792454015204785e-91
170,1,5.868544600938967e-4,1.6425553789761025e-90
171,4,0.002347417840375587,5.5967369866867516e-90
173,1,5.868544600938967e-4,6.385314954017694e-89
174,3,0.0017605633802816902,2.1381790158692262e-88
175,4,0.002347417840375587,7.11896736637391e-88
176,3,0.0017605633802816902,2.356759802114255e-87
177,2,0.0011737089201877935,7.758058381112132e-87
178,1,5.868544600938967e-4,2.539475509468359e-86
179,1,5.868544600938967e-4,8.266125328661714e-86
180,1,5.868544600938967e-4,2.675718789020749e-85
181,4,0.002347417840375587,8.613365592974889e-85
182,2,0.0011737089201877935,2.757480696817418e-84
183,3,0.0017605633802816902,8.779552475276305e-84
184,1,5.868544600938967e-4,2.7801328135240308e-83
185,2,0.0011737089201877935,8.755980849440421e-83
187,2,0.0011737089201877935,8.546183779605581e-82
188,1,5.868544600938967e-4,2.6486548366468184e-81
189,3,0.0017605633802816902,8.165345200775556e-81
190,1,5.868544600938967e-4,2.5039862321391045e-80
191,2,0.0011737089201877935,7.638525928138435e-80
192,3,0.0017605633802816902,2.3180314083500983e-79
193,3,0.0017605633802816902,6.99798480126159e-79
195,1,5.868544600938967e-4,6.2799853283940615e-78
196,2,0.0011737089201877935,1.866867716237534e-77
197,1,5.868544600938967e-4,5.521515645457669e-77
198,1,5.868544600938967e-4,1.6248156915348322e-76
199,3,0.0017605633802816902,4.7573161748605785e-76
200,2,0.0011737089201877935,1.3859354644944338e-75
201,2,0.0011737089201877935,4.0175189906542533e-75
202,2,0.0011737089201877935,1.1588242014241839e-74
203,3,0.0017605633802816902,3.3260785882380333e-74
204,1,5.868544600938967e-4,9.499775165072851e-74
205,2,0.0011737089201877935,2.7000415877179823e-73
208,3,0.0017605633802816902,6.021469847133216e-72
209,1,5.868544600938967e-4,1.6786772995252497e-71
211,5,0.0029342723004694834,1.2861376240004557e-70
213,1,5.868544600938967e-4,9.669275938783483e-70
216,1,5.868544600938967e-4,1.924513371867809e-68
217,2,0.0011737089201877935,5.167401261508131e-68
218,3,0.0017605633802816902,1.3811049475275345e-67
220,1,5.868544600938967e-4,9.731546471105064e-67
221,1,5.868544600938967e-4,2.565668693574699e-66
222,1,5.868544600938967e-4,6.733774803152011e-66
223,2,0.0011737089201877935,1.759400507612197e-65
224,2,0.0011737089201877935,4.576439046202357e-65
229,1,5.868544600938967e-4,5.099122873672371e-63
232,1,5.868544600938967e-4,8.182775567166939e-62
236,1,5.868544600938967e-4,3.118838933717647e-60
237,1,5.868544600938967e-4,7.66753185225369e-60
238,2,0.0011737089201877935,1.8771095511271287e-59
240,1,5.868544600938967e-4,1.1109703086653598e-58
241,1,5.868544600938967e-4,2.685940560083765e-58
243,2,0.0011737089201877935,1.5505891238412453e-57
244,1,5.868544600938967e-4,3.702694617971961e-57
245,1,5.868544600938967e-4,8.805677954850786e-57
246,3,0.0017605633802816902,2.0856367890300917e-56
247,1,5.868544600938967e-4,4.919859645632585e-56
249,1,5.868544600938967e-4,2.704728398218534e-55
252,1,5.868544600938967e-4,3.3833143691165294e-54
253,1,5.868544600938967e-4,7.791710711315703e-54
255,1,5.868544600938967e-4,4.0839545313972095e-53
262,1,5.868544600938967e-4,1.1911051630037408e-50
264,2,0.0011737089201877935,5.82387985858297e-50
266,2,0.0011737089201877935,2.8048321203011083e-49
269,1,5.868544600938967e-4,2.8823153861898444e-48
270,1,5.868544600938967e-4,6.219976210595554e-48
271,2,0.0011737089201877935,1.3373048526705794e-47
272,1,5.868544600938967e-4,2.864656176298049e-47
273,1,5.868544600938967e-4,6.11393539021367e-47
277,1,5.868544600938967e-4,1.2231865251567308e-45
